panel,tag,ii,measured,ideal,efficiency_pct,throughput,bandwidth_MBps,ceiling_MBps,bw_pct
a,f64,64.0,1012658.112417779,1156250.0,87.58124215505117,,,,
a,f256,256.0,272003.51109201525,289062.5,94.09851194534582,,,,
a,f512,512.0,137779.22356250882,144531.25,95.32832765406016,,,,
a,f1024,1024.0,69341.48606387289,72265.625,95.95362395865654,,,,
a,f2048,2048.0,34766.14016683791,36132.8125,96.21764197524871,,,,
b,f64,,,,,1012658.112417779,405.06324496711164,592.0,68.42284543363373
b,f256,,,,,272003.51109201525,108.8014044368061,592.0,18.378615614325355
b,f512,,,,,137779.22356250882,55.111689425003526,592.0,9.309406997466812
b,f1024,,,,,69341.48606387289,27.736594425549153,592.0,4.685235544856275
b,f2048,,,,,34766.14016683791,13.906456066735165,592.0,2.3490635247863456
