panel,tag,ii,throughput,e_measured_nJ,e_estimated_nJ,session,ratio
a,f64,64,1012658.112417779,745.1489036714958,124.42501418288924,2.0,
a,f256,256,272003.51109201525,1223.6734305365023,404.4065444537164,2.0,
a,f512,512,137779.22356250882,1939.821480998248,653.2189518339683,2.0,
a,f1024,1024,69341.48606387289,3295.12589154513,1672.8802133422453,2.0,
a,f2048,2048,34766.14016683791,6889.596912060033,2042.216928864717,2.0,
a,f512,512,137818.0,2147.382330726793,653.2189518339683,1.0,
b,f64,64,,,,,5.988738748112336
b,f256,256,,,,,3.025849723053999
b,f512,512,,,,,2.9696344166868283
b,f1024,1024,,,,,1.9697321214420975
b,f2048,2048,,,,,3.373587210390039
