tag,multipliers,quantity,ratio
f2048,6,LUT,0.7562646357210075
f1024,17,LUT,0.6243569255018717
f512,27,LUT,0.5860717318873718
f256,47,LUT,0.5652590046097351
f64,209,LUT,0.6643411751071967
f32,561,LUT,1.0646794150731158
f16,674,LUT,1.1590785003639894
f8,1348,LUT,1.5517436440012151
f4,4040,LUT,1.976737025445889
f2,4944,LUT,1.956392400242153
f1,9888,LUT,0.7435692440894301
f2048,6,DSP,0.6666666666666666
f1024,17,DSP,0.5
f512,27,DSP,0.5925925925925926
f256,47,DSP,0.6808510638297872
f64,209,DSP,0.9138755980861244
f32,561,DSP,0.4158790170132325
f16,674,DSP,0.392156862745098
f8,1348,DSP,0.196078431372549
f4,4040,DSP,0.0610367892976588
f2,4944,DSP,0.0547029702970297
f1,9888,DSP,0.1553693830921553
f2048,6,Clock period,0.695805480055829
f1024,17,Clock period,0.7857945425361156
f512,27,Clock period,0.7873737373737373
f256,47,Clock period,0.859072173989301
f64,209,Clock period,1.0838498816634736
