panel,bits,w_int,a_int,int_total,macro_f1,config,seed
a,8.0,0.0,0.0,0.0,0.4195769839677877,,
a,8.0,1.0,2.0,3.0,0.4650537873012058,,
a,8.0,2.0,3.0,5.0,0.4634161283127929,,
a,8.0,3.0,4.0,7.0,0.4394052880891042,,
a,8.0,4.0,5.0,9.0,0.41557061493653974,,
a,6.0,0.0,0.0,0.0,0.3994343888415919,,
a,6.0,1.0,2.0,3.0,0.4329806205468102,,
a,6.0,2.0,3.0,5.0,0.4017561911362316,,
a,6.0,3.0,4.0,7.0,0.3275026755985216,,
a,4.0,0.0,0.0,0.0,0.35599533020617186,,
a,4.0,1.0,1.0,2.0,0.35039464096457984,,
a,4.0,1.0,2.0,3.0,0.32659914192747674,,
a,4.0,2.0,2.0,4.0,0.28468906642255465,,
a,3.0,0.0,0.0,0.0,0.3074633093045032,,
a,3.0,0.0,1.0,1.0,0.3095383658806059,,
a,3.0,1.0,1.0,2.0,0.27704573167048524,,
b,,,,,0.4195769839677877,"(0,0)",42.0
b,,,,,0.4144095217514509,"(0,0)",1337.0
b,,,,,0.4133024106428892,"(0,0)",2026.0
b,,,,,0.4650537873012058,"(1,2)",42.0
b,,,,,0.4517388473807749,"(1,2)",1337.0
b,,,,,0.4655256580041766,"(1,2)",2026.0
b,,,,,0.41557061493653974,"(4,5)",42.0
b,,,,,0.4041000400437824,"(4,5)",1337.0
b,,,,,0.3884417704572823,"(4,5)",2026.0
