panel,tag,multipliers,resource,used,capacity,fits,pct
a,f2048,6,LUT,34556.0,53200.0,True,
a,f1024,17,LUT,28520.0,53200.0,True,
a,f512,27,LUT,26913.0,53200.0,True,
a,f256,47,LUT,28939.0,53200.0,True,
a,f64,209,LUT,28663.0,53200.0,True,
a,f32,561,LUT,64362.0,53200.0,False,
a,f16,674,LUT,76425.0,53200.0,False,
a,f8,1348,LUT,148131.0,53200.0,False,
a,f4,4040,LUT,430136.0,53200.0,False,
a,f2,4944,LUT,487981.0,53200.0,False,
a,f1,9888,LUT,212985.0,53200.0,False,
a,f2048,6,FF,28314.0,106400.0,True,
a,f1024,17,FF,27704.0,106400.0,True,
a,f512,27,FF,25933.0,106400.0,True,
a,f256,47,FF,29163.0,106400.0,True,
a,f64,209,FF,23381.0,106400.0,True,
a,f32,561,FF,32199.0,106400.0,False,
a,f16,674,FF,34085.0,106400.0,False,
a,f8,1348,FF,47988.0,106400.0,False,
a,f4,4040,FF,99042.0,106400.0,False,
a,f2,4944,FF,109285.0,106400.0,False,
a,f1,9888,FF,108079.0,106400.0,False,
a,f2048,6,DSP,4.0,220.0,True,
a,f1024,17,DSP,8.0,220.0,True,
a,f512,27,DSP,16.0,220.0,True,
a,f256,47,DSP,32.0,220.0,True,
a,f64,209,DSP,191.0,220.0,True,
a,f32,561,DSP,220.0,220.0,False,
a,f16,674,DSP,220.0,220.0,False,
a,f8,1348,DSP,220.0,220.0,False,
a,f4,4040,DSP,219.0,220.0,False,
a,f2,4944,DSP,221.0,220.0,False,
a,f1,9888,DSP,204.0,220.0,False,
b,f2048,6,LUT,34556.0,53200.0,True,64.95488721804512
b,f1024,17,LUT,28520.0,53200.0,True,53.609022556390975
b,f512,27,LUT,26913.0,53200.0,True,50.588345864661655
b,f256,47,LUT,28939.0,53200.0,True,54.39661654135338
b,f64,209,LUT,28663.0,53200.0,True,53.87781954887218
b,f2048,6,FF,28314.0,106400.0,True,26.610902255639097
b,f1024,17,FF,27704.0,106400.0,True,26.037593984962406
b,f512,27,FF,25933.0,106400.0,True,24.37312030075188
b,f256,47,FF,29163.0,106400.0,True,27.408834586466167
b,f64,209,FF,23381.0,106400.0,True,21.974624060150376
b,f2048,6,DSP,4.0,220.0,True,1.8181818181818181
b,f1024,17,DSP,8.0,220.0,True,3.6363636363636362
b,f512,27,DSP,16.0,220.0,True,7.2727272727272725
b,f256,47,DSP,32.0,220.0,True,14.545454545454545
b,f64,209,DSP,191.0,220.0,True,86.81818181818181
